age,weight_lbs,temperature,heart_rate_bpm,resp_rate_bpm,mm,crt,mentation,vomiting,diarrhea,inappetence,lethargic,lameness,muscle_pain,joint_swelling,reported_weight_loss,skin_condition,is_4dx_tested
1.0,15,102,183,44,Pink,1-2 sec,QAR,Mild,Mild,None,None,None,None,None,None,Normal,Negative
2.0,72,100,138,21,Pink,>2 sec,QAR,Mild,None,None,None,None,None,None,Present,Normal,Negative
0.005479452054794521,63,102,160,50,Pink,1-2 sec,QAR,None,None,Mild,None,None,None,None,None,Normal,Negative
0.005479452054794521,59,102,157,18,Pink,>2 sec,Dull/Depressed,Mild,Mild,Moderate,None,None,None,Mild,None,Normal,Negative
6.0,42,104,110,40,Light Pink,1-2 sec,Dull/Depressed,None,Moderate,Mild,None,None,Mild,Mild,None,Normal,Positive
0.16666666666666666,90,100,161,131,Pink,>2 sec,Anxious/Agitated,None,None,None,None,None,None,None,None,Normal,Negative
4.0,19,102,88,150,Pink,<1 sec,Dull/Depressed,None,None,Moderate,None,None,None,None,None,Bruising,Negative
2.0,71,102,147,39,Pink,<1 sec,BAR,Mild,None,Mild,Mild,None,None,None,None,Normal,Negative
0.3333333333333333,47,99,93,39,Pink,1-2 sec,QAR,None,Mild,Mild,None,None,Mild,None,None,Normal,Negative
9.0,69,105,178,145,Pink,1-2 sec,QAR,Mild,None,Mild,Mild,None,None,Mild,Present,Normal,Positive
0.08333333333333333,82,102,96,141,Pink,1-2 sec,BAR,None,Moderate,Mild,None,None,None,None,None,Normal,Negative
0.25,9,102,145,29,Pink,1-2 sec,Dull/Depressed,None,Mild,None,Moderate,None,Mild,None,None,Normal,Negative
8.0,53,104,166,31,Pink,1-2 sec,BAR,Mild,None,Mild,Mild,None,None,Moderate,None,Irritation,Positive
7.0,77,102,108,52,Pink,<1 sec,BAR,None,None,Mild,None,None,None,None,None,Bruising,Negative
5.0,51,102,161,32,Pink,<1 sec,QAR,None,None,Moderate,None,None,None,None,None,Normal,Negative
4.0,14,102,93,60,Light Pink,1-2 sec,QAR,Mild,Mild,Moderate,None,None,None,None,None,Normal,Negative
3.0,69,99,99,44,Pink,<1 sec,BAR,Mild,Mild,None,Mild,None,None,None,None,Normal,Negative
3.0,53,100,152,24,Pink,<1 sec,BAR,None,Mild,Severe,Mild,None,Mild,None,Present,Normal,Negative
2.0,7,99,174,19,Pink,1-2 sec,Dull/Depressed,None,None,None,None,None,None,None,None,Normal,Negative
2.0,30,105,130,33,Pink,>2 sec,Dull/Depressed,Mild,Mild,Mild,None,Present,Mild,Moderate,None,Normal,Positive
5.0,45,100,155,57,Pink,>2 sec,BAR,None,Moderate,Moderate,None,None,None,None,None,Normal,Negative
5.0,17,105,156,121,Pink,1-2 sec,Dull/Depressed,Mild,Mild,None,Mild,Present,Moderate,Mild,None,Bruising,Positive
0.5833333333333334,23,102,136,123,Pink,1-2 sec,BAR,None,None,Mild,None,None,None,None,None,Normal,Negative
1.0,74,99,114,42,Pale,UTO,BAR,Mild,None,None,None,None,None,None,None,Normal,Negative
1.0,44,99,133,59,Pink,1-2 sec,QAR,None,Mild,Mild,None,None,Mild,None,None,Normal,Negative
2.0,78,100,103,55,Pink,<1 sec,BAR,None,None,Mild,None,None,None,None,None,Bruising,Negative
0.3333333333333333,11,102,146,25,Pink,1-2 sec,Dull/Depressed,None,Mild,None,Moderate,None,Mild,None,None,Bruising,Negative
0.25,32,102,143,58,Pink,>2 sec,Dull/Depressed,Mild,None,Mild,None,None,None,None,None,Normal,Negative
2.0,25,103,159,39,Light Pink,1-2 sec,Dull/Depressed,None,Mild,None,None,Present,None,Mild,None,Normal,Positive
0.4166666666666667,82,101,101,55,Pink,<1 sec,BAR,None,None,None,None,None,None,None,None,Normal,Negative
0.08333333333333333,19,104,118,33,Pink,1-2 sec,BAR,Mild,None,Mild,None,Present,Moderate,Moderate,None,Normal,Positive
0.07692307692307693,80,101,88,48,Pink,1-2 sec,BAR,Mild,Mild,None,Mild,None,None,Mild,None,Normal,Negative
3.0,5,99,143,145,Pink,<1 sec,BAR,None,Moderate,Mild,Moderate,None,None,None,None,Normal,Negative
2.0,74,100,140,126,Light Pink,1-2 sec,Dull/Depressed,Mild,Moderate,None,None,None,Mild,None,None,Normal,Negative
1.0,70,99,124,49,Pink,<1 sec,BAR,None,None,None,None,None,None,None,None,Bruising,Negative
0.08333333333333333,14,100,115,42,Pink,1-2 sec,QAR,Mild,Mild,None,Mild,None,None,None,None,Normal,Negative
10.0,80,99,149,56,Pink,1-2 sec,Dull/Depressed,None,None,None,Mild,None,Mild,None,None,Normal,Negative
1.0,13,102,162,44,Pink,1-2 sec,BAR,Moderate,Mild,None,Mild,None,None,None,None,Normal,Negative
3.0,6,100,168,144,Light Pink,>2 sec,Dull/Depressed,None,None,Mild,None,None,None,None,None,Petechiae,Negative
6.0,85,101,112,141,Pink,1-2 sec,BAR,Moderate,Moderate,None,Moderate,None,None,None,None,Normal,Negative
1.0,47,99,151,53,Pink,1-2 sec,BAR,None,Mild,None,None,None,None,None,Present,Bruising,Negative
4.0,54,100,145,138,Pink,1-2 sec,BAR,Mild,Mild,None,None,None,None,None,None,Bruising,Negative
0.08333333333333333,82,100,90,22,Pink,<1 sec,QAR,Mild,None,Mild,Mild,None,None,None,None,Normal,Negative
0.25,100,99,131,139,Pink,>2 sec,Dull/Depressed,None,Moderate,None,None,None,None,None,None,Normal,Negative
0.25,73,102,157,31,Pink,>2 sec,QAR,Moderate,Mild,None,Mild,None,None,None,None,Normal,Negative
