fipscode,state,county,ixodes_scapularis_county_status_2016,ixodes_pacificus_county_status_2016,ixodes_scapularis_county_status_2018,ixodes_pacificus_county_status_2018,ixodes_scapularis_county_status_2019,ixodes_pacificus_county_status_2019,ixodes_scapularis_county_status_2020,ixodes_pacificus_county_status_2020,ixodes_scapularis_county_status_2021,ixodes_pacificus_county_status_2021
1001,AL,Autauga County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1003,AL,Baldwin County,Reported,No records,Established,No records,Established,No records,Established,No records,Established,No records
1005,AL,Barbour County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1007,AL,Bibb County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1009,AL,Blount County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1011,AL,Bullock County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1013,AL,Butler County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1015,AL,Calhoun County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1017,AL,Chambers County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1019,AL,Cherokee County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1021,AL,Chilton County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1023,AL,Choctaw County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1025,AL,Clarke County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1027,AL,Clay County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1029,AL,Cleburne County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1031,AL,Coffee County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1033,AL,Colbert County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1035,AL,Conecuh County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1037,AL,Coosa County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1039,AL,Covington County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1041,AL,Crenshaw County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Established,No records
1043,AL,Cullman County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1045,AL,Dale County,Reported,No records,Reported,No records,Reported,No records,Reported,No records,Reported,No records
1047,AL,Dallas County,No records,No records,Established,No records,Established,No records,Established,No records,Established,No records
1049,AL,DeKalb County,No records,No records,No records,No records,No records,No records,No records,No records,No records,No records
1051,AL,Elmore County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
1053,AL,Escambia County,Established,No records,Established,No records,Established,No records,Established,No records,Established,No records
