FIPSCode,State,County,Ixodes_scapularis_County_Status,Ixodes_scapularis_data_source,Ixodes_pacificus_county_status,Ixodes_pacificus_data_source
01001,AL,Autauga County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01003,AL,Baldwin County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01005,AL,Barbour County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01007,AL,Bibb County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01009,AL,Blount County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01011,AL,Bullock County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01013,AL,Butler County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01015,AL,Calhoun County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01017,AL,Chambers County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01019,AL,Cherokee County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01021,AL,Chilton County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01023,AL,Choctaw County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01025,AL,Clarke County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01027,AL,Clay County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01029,AL,Cleburne County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01031,AL,Coffee County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01033,AL,Colbert County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01035,AL,Conecuh County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01037,AL,Coosa County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01039,AL,Covington County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01041,AL,Crenshaw County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01043,AL,Cullman County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01045,AL,Dale County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01047,AL,Dallas County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01049,AL,DeKalb County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01051,AL,Elmore County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01053,AL,Escambia County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01055,AL,Etowah County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01057,AL,Fayette County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01059,AL,Franklin County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01061,AL,Geneva County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01063,AL,Greene County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01065,AL,Hale County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01067,AL,Henry County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01069,AL,Houston County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01071,AL,Jackson County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01073,AL,Jefferson County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01075,AL,Lamar County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01077,AL,Lauderdale County,No records,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01079,AL,Lawrence County,Reported,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
01081,AL,Lee County,Established,Eisen et al. 2016. J Med Entomol.,No records,Eisen et al. 2016. J Med Entomol.
