index,age,weight_lbs,temperature,heart_rate_bpm,resp_rate_bpm,mm,crt,mentation,vomiting,diarrhea,inappetence,lethargic,lameness,muscle_pain,joint_swelling,reported_weight_loss,skin_condition,is_4dx_tested
6,1,15,102,183,44,2,0,4,1,1,2,2,0,2,2,0,2,Negative
8,2,72,100,138,21,2,2,4,1,3,2,2,0,2,2,1,2,Negative
10,0.005479452054794521,63,102,160,50,2,0,4,3,3,0,2,0,2,2,0,2,Negative
11,0.005479452054794521,59,102,157,18,2,2,2,1,1,1,2,0,2,0,0,2,Negative
19,6,42,104,110,40,0,0,2,3,2,0,2,0,0,0,0,2,Positive
20,0.16666666666666666,90,100,161,131,2,2,0,3,3,2,2,0,2,2,0,2,Negative
24,4,19,102,88,150,2,1,2,3,3,1,2,0,2,2,0,0,Negative
25,2,71,102,147,39,2,1,1,1,3,0,0,0,2,2,0,2,Negative
32,0.3333333333333333,47,99,93,39,2,0,4,3,1,0,2,0,0,2,0,2,Negative
35,9,69,105,178,145,2,0,4,1,3,0,0,0,2,0,1,2,Positive
39,0.08333333333333333,82,102,96,141,2,0,1,3,2,0,2,0,2,2,0,2,Negative
43,0.25,9,102,145,29,2,0,2,3,1,2,1,0,0,2,0,2,Negative
44,8,53,104,166,31,2,0,1,1,3,0,0,0,2,1,0,1,Positive
46,7,77,102,108,52,2,1,1,3,3,0,2,0,2,2,0,0,Negative
48,5,51,102,161,32,2,1,4,3,3,1,2,0,2,2,0,2,Negative
50,4,14,102,93,60,0,0,4,1,1,1,2,0,2,2,0,2,Negative
52,3,69,99,99,44,2,1,1,1,1,2,0,0,2,2,0,2,Negative
53,3,53,100,152,24,2,1,1,3,1,3,0,0,0,2,1,2,Negative
54,2,7,99,174,19,2,0,2,3,3,2,2,0,2,2,0,2,Negative
58,2,30,105,130,33,2,2,2,1,1,0,2,1,0,1,0,2,Positive
60,5,45,100,155,57,2,2,1,3,2,1,2,0,2,2,0,2,Negative
61,5,17,105,156,121,2,0,2,1,1,2,0,1,1,0,0,0,Positive
62,0.5833333333333334,23,102,136,123,2,0,1,3,3,0,2,0,2,2,0,2,Negative
63,1,74,99,114,42,1,3,1,1,3,2,2,0,2,2,0,2,Negative
66,1,44,99,133,59,2,0,4,3,1,0,2,0,0,2,0,2,Negative
69,2,78,100,103,55,2,1,1,3,3,0,2,0,2,2,0,0,Negative
71,0.3333333333333333,11,102,146,25,2,0,2,3,1,2,1,0,0,2,0,0,Negative
75,0.25,32,102,143,58,2,2,2,1,3,0,2,0,2,2,0,2,Negative
77,2,25,103,159,39,0,0,2,3,1,2,2,1,2,0,0,2,Positive
78,0.4166666666666667,82,101,101,55,2,1,1,3,3,2,2,0,2,2,0,2,Negative
80,0.08333333333333333,19,104,118,33,2,0,1,1,3,0,2,1,1,1,0,2,Positive
82,0.07692307692307693,80,101,88,48,2,0,1,1,1,2,0,0,2,0,0,2,Negative
84,3,5,99,143,145,2,1,1,3,2,0,1,0,2,2,0,2,Negative
85,2,74,100,140,126,0,0,2,1,2,2,2,0,0,2,0,2,Negative
88,1,70,99,124,49,2,1,1,3,3,2,2,0,2,2,0,0,Negative
96,0.08333333333333333,14,100,115,42,2,0,4,1,1,2,0,0,2,2,0,2,Negative
101,10,80,99,149,56,2,0,2,3,3,2,0,0,0,2,0,2,Negative
102,1,13,102,162,44,2,0,1,2,1,2,0,0,2,2,0,2,Negative
104,3,6,100,168,144,0,2,2,3,3,0,2,0,2,2,0,4,Negative
105,6,85,101,112,141,2,0,1,2,2,2,1,0,2,2,0,2,Negative
107,1,47,99,151,53,2,0,1,3,1,2,2,0,2,2,1,0,Negative
